# All infantry equipment

equipments = {

	airtechs_equipment = {
		year = 1936
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 20
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 0.5
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.43
		resources = {
			steel = 2
		}
		
	}

	multirole_fighter_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 12
		air_defence = 8
		air_agility = 40
		maximum_speed = 1600
		air_range = 800
		fuel_consumption = 0.2
		
		air_ground_attack = 2
		naval_strike_targetting = 10
		naval_strike_attack = 2
		air_bombing = 0.25
		
		manpower = 20
		build_cost_ic = 18
		resources = {
			aluminium = 2
			polymers = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}

	aerial_coverage_unit_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 16
		air_defence = 10
		air_agility = 50
		maximum_speed = 1800
		air_range = 1000
		fuel_consumption = 0.2
		
		air_ground_attack = 4
		naval_strike_targetting = 10
		naval_strike_attack = 4
		air_bombing = 0.25
		
		manpower = 20
		build_cost_ic = 20
		resources = {
			aluminium = 2
			polymers = 1
			electronics = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}


	strike_interceptor_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 38
		air_defence = 14
		air_agility = 32
		maximum_speed = 1200
		air_range = 1400
		fuel_consumption = 0.25
		
		air_ground_attack = 0
		naval_strike_targetting = 10
		naval_strike_attack = 6
		air_bombing = 0.0
		
		manpower = 20
		build_cost_ic = 39
		resources = {
			aluminium = 2
			polymers = 1
			electronics = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}

	aerial_lancer_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 52
		air_defence = 16
		air_agility = 36
		maximum_speed = 1400
		air_range = 1600
		fuel_consumption = 0.3
		
		air_ground_attack = 0
		naval_strike_targetting = 10
		naval_strike_attack = 9
		air_bombing = 0.0
		
		manpower = 20
		build_cost_ic = 32
		resources = {
			aluminium = 3
			polymers = 1
			electronics = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}

	decisive_superiority_fighter_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 24
		air_defence = 12
		air_agility = 60
		maximum_speed = 1600
		air_range = 1200
		fuel_consumption = 0.25
		
		air_ground_attack = 6
		naval_strike_targetting = 10
		naval_strike_attack = 6
		air_bombing = 0.75
		
		manpower = 20
		build_cost_ic = 22
		resources = {
			aluminium = 3
			polymers = 1
			electronics = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}

	stealth_combat_fighter_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 28
		air_defence = 20
		air_agility = 120
		maximum_speed = 2000
		air_range = 600
		fuel_consumption = 0.3
		
		air_ground_attack = 0
		naval_strike_targetting = 0
		naval_strike_attack = 0
		air_bombing = 0.0
		
		manpower = 20
		build_cost_ic = 32
		resources = {
			aluminium = 3
			polymers = 1
			electronics = 1
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}

	rapid_action_fighter_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 68
		air_defence = 22
		air_agility = 48
		maximum_speed = 1700
		air_range = 1900
		fuel_consumption = 0.35
		
		air_ground_attack = 0
		naval_strike_targetting = 10
		naval_strike_attack = 12
		air_bombing = 0.0
		
		manpower = 20
		build_cost_ic = 36
		resources = {
			aluminium = 2
			polymers = 1
			electronics = 2
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}
	
	maximum_force_responder_equipment = {
		year = 1918
	
		archetype = airtechs_equipment 
		active = yes
		priority = 05
		visual_level = 0
		
		air_attack = 86
		air_defence = 28
		air_agility = 64
		maximum_speed = 2000
		air_range = 2200
		fuel_consumption = 0.4
		
		air_ground_attack = 0
		naval_strike_targetting = 10
		naval_strike_attack = 15
		air_bombing = 0.0
		
		manpower = 20
		build_cost_ic = 40
		resources = {
			aluminium = 4
			polymers = 1
			electronics = 2
		}
		
		reliability = 0.8

		#Space taken in convoy
		lend_lease_cost = 8
	}
	
	air_space_denial_unit_equipment = {
		year = 1918
	
